Unnamed: 0,Species,TREE_ID,Year,logF_current,X,Y
268,Pinus contorta,52000_5_19_6_4_140,2015,0.361855831,-118.8333333,37.08333333
269,Pinus contorta,52000_5_19_6_4_140,2005,-0.83367486,-118.8333333,37.08333333
270,Pinus contorta,52000_5_19_6_4_141,2015,0.47576414,-118.8333333,37.08333333
271,Pinus contorta,52000_5_19_6_4_141,2015,1.684007831,-118.8333333,37.08333333
272,Pinus contorta,52000_5_19_6_4_141,2005,0.47576414,-118.8333333,37.08333333
273,Pinus contorta,52000_5_19_6_4_141,2005,1.684007831,-118.8333333,37.08333333
274,Pinus contorta,52000_5_19_6_4_145,2015,2.726473831,-118.8333333,37.08333333
275,Pinus contorta,52000_5_19_6_4_145,2005,1.53094314,-118.8333333,37.08333333
276,Pinus contorta,52000_5_19_6_4_152,2005,-0.05818186,-118.8333333,37.08333333
277,Pinus contorta,52000_5_19_6_4_152,2015,1.175487831,-118.8333333,37.08333333
278,Pinus contorta,52073_5_9_6_1_102,2003,4.650133364,-120.375,38.375
279,Pinus contorta,52073_5_9_6_1_102,2013,5.512160749,-120.375,38.375
280,Pinus contorta,52073_5_9_6_2_110,2003,0.276861364,-120.375,38.375
281,Pinus contorta,52073_5_9_6_2_110,2013,1.088036749,-120.375,38.375
282,Pinus contorta,52073_5_9_6_2_111,2003,0.454843364,-120.375,38.375
283,Pinus contorta,52073_5_9_6_2_111,2013,1.342296749,-120.375,38.375
284,Pinus contorta,52073_5_9_6_2_113,2003,0.251435364,-120.375,38.375
285,Pinus contorta,52073_5_9_6_2_113,2013,1.049897749,-120.375,38.375
286,Pinus contorta,52073_5_9_6_2_115,2003,0.391278364,-120.375,38.375
287,Pinus contorta,52073_5_9_6_2_115,2013,1.266018749,-120.375,38.375
288,Pinus contorta,52073_5_9_6_2_116,2003,0.060740364,-120.375,38.375
289,Pinus contorta,52073_5_9_6_2_116,2013,0.859202749,-120.375,38.375
290,Pinus contorta,52073_5_9_6_2_117,2003,0.111592364,-120.375,38.375
291,Pinus contorta,52073_5_9_6_2_117,2013,0.897341749,-120.375,38.375
292,Pinus contorta,52073_5_9_6_2_120,2003,0.315000364,-120.375,38.375
293,Pinus contorta,52073_5_9_6_2_120,2013,1.164314749,-120.375,38.375
294,Pinus contorta,52073_5_9_6_2_121,2013,2.028798749,-120.375,38.375
295,Pinus contorta,52073_5_9_6_2_121,2003,0.899798364,-120.375,38.375
296,Pinus contorta,52073_5_9_6_2_122,2003,0.848946364,-120.375,38.375
297,Pinus contorta,52073_5_9_6_2_122,2013,1.749112749,-120.375,38.375
298,Pinus contorta,52073_5_9_6_2_123,2013,2.130502749,-120.375,38.375
299,Pinus contorta,52073_5_9_6_2_123,2003,1.039641364,-120.375,38.375
300,Pinus contorta,52073_5_9_6_2_124,2003,0.632825364,-120.375,38.375
301,Pinus contorta,52073_5_9_6_2_124,2013,1.596556749,-120.375,38.375
302,Pinus contorta,52073_5_9_6_2_126,2003,0.658251364,-120.375,38.375
303,Pinus contorta,52073_5_9_6_2_126,2013,1.647408749,-120.375,38.375
304,Pinus contorta,52073_5_9_6_2_127,2003,0.823520364,-120.375,38.375
