,Species,TREE_ID,Xorig,X,Yorig,Y,Year,logF_current
238,Abies concolor,50206_3_17_6_3_142,38.818547,38.818747,-120.008184,-120.009184,2011,3.548669992
239,Abies concolor,50206_3_17_6_3_142,38.818547,38.819047,-120.008184,-120.008784,2021,NA
240,Abies concolor,50206_3_17_6_3_142,38.818547,38.818847,-120.008184,-120.008684,2021,NA
241,Abies concolor,50206_3_17_6_3_143,38.818547,38.819547,-120.008184,-120.008284,2001,5.274728057
242,Abies concolor,50206_3_17_6_3_143,38.818547,38.819247,-120.008184,-120.008784,2001,5.526787538
243,Abies concolor,50206_3_17_6_3_143,38.818547,38.819247,-120.008184,-120.008484,2011,3.174566682
244,Abies concolor,50206_3_17_6_3_143,38.818547,38.819247,-120.008184,-120.008684,2011,3.548653204
245,Abies concolor,50206_3_17_6_3_143,38.818547,38.818647,-120.008184,-120.009084,2021,5.342126865
246,Abies concolor,50206_3_17_6_3_143,38.818547,38.818947,-120.008184,-120.009184,2021,5.722184105
247,Abies concolor,50206_3_17_6_3_144,38.818547,38.818847,-120.008184,-120.008984,2001,5.274560177
248,Abies concolor,50206_3_17_6_3_144,38.818547,38.818747,-120.008184,-120.008784,2001,5.526619658
249,Abies concolor,50206_3_17_6_3_144,38.818547,38.819547,-120.008184,-120.009184,2011,3.174398802
250,Abies concolor,50206_3_17_6_3_144,38.818547,38.819547,-120.008184,-120.009184,2011,3.548485324
251,Abies concolor,50206_3_17_6_3_144,38.818547,38.819247,-120.008184,-120.009084,2021,5.341958985
252,Abies concolor,50206_3_17_6_3_144,38.818547,38.819347,-120.008184,-120.009184,2021,5.722016225
253,Abies concolor,50206_3_17_6_3_145,38.818547,38.819347,-120.008184,-120.008584,2001,5.274770027
254,Abies concolor,50206_3_17_6_3_145,38.818547,38.819547,-120.008184,-120.008584,2001,5.526829508
255,Abies concolor,50206_3_17_6_3_145,38.818547,38.818647,-120.008184,-120.008584,2011,3.174621243
256,Abies concolor,50206_3_17_6_3_145,38.818547,38.819347,-120.008184,-120.008684,2011,3.548707765
257,Abies concolor,50206_3_17_6_3_145,38.818547,38.819347,-120.008184,-120.008284,2021,5.342177229
258,Abies concolor,50206_3_17_6_3_145,38.818547,38.819047,-120.008184,-120.008984,2021,5.722234469
259,Abies concolor,50206_3_17_6_3_146,38.818547,38.818847,-120.008184,-120.009084,2001,5.274702875
260,Abies concolor,50206_3_17_6_3_146,38.818547,38.819547,-120.008184,-120.008384,2001,5.526762356
261,Abies concolor,50206_3_17_6_3_146,38.818547,38.818847,-120.008184,-120.008984,2011,3.174533106
