,Species,TREE_ID,X_old,X,Y_old,Y,Year,logF_current
127,Quercus agrifolia,54075_4_81_6_1_302,-122.37502,-122.37582,37.54175,37.54265,2008,0.137014497
128,Quercus agrifolia,54075_4_81_6_1_303,-122.37503,-122.37573,37.54168,37.54228,2008,0.926285396
129,Quercus agrifolia,54075_4_81_6_1_303,-122.37507,-122.37507,37.54171,37.54191,2018,0.475966233
130,Quercus agrifolia,54075_4_81_6_1_304,-122.37506,-122.37566,37.54171,37.54191,2008,0.725532802
131,Quercus agrifolia,54075_4_81_6_1_304,-122.37507,-122.37507,37.54171,37.54201,2018,0.288334064
132,Quercus agrifolia,54075_4_81_6_1_305,-122.37507,-122.37567,37.54168,37.54248,2008,0.92180899
133,Quercus agrifolia,54075_4_81_6_1_305,-122.37506,-122.37546,37.5417,37.5426,2018,0.454242297
134,Quercus agrifolia,54075_4_81_6_1_306,-122.37508,-122.37558,37.5417,37.5425,2008,0.922732087
135,Quercus agrifolia,54075_4_81_6_1_306,-122.37506,-122.37516,37.54175,37.54205,2018,0.437507108
136,Quercus agrifolia,54075_4_81_6_1_307,-122.37505,-122.37575,37.54174,37.54204,2008,0.788514083
137,Quercus agrifolia,54075_4_81_6_1_307,-122.37508,-122.37568,37.5417,37.5422,2008,0.297294932
138,Quercus agrifolia,54075_4_81_6_1_307,-122.375,-122.3754,37.54175,37.54265,2018,0.788514083
139,Quercus agrifolia,54075_4_81_6_1_307,-122.37504,-122.37534,37.54172,37.54252,2018,0.297294932
140,Quercus agrifolia,54075_4_81_6_2_309,-122.375,-122.3755,37.54167,37.54197,2008,1.886373831
141,Quercus agrifolia,54075_4_81_6_2_309,-122.37502,-122.37582,37.54175,37.54225,2018,1.508936523
142,Quercus agrifolia,54089_6_73_6_2_115,-116.9166867,-116.9172867,33.33336,33.33346,2012,1.924287812
143,Quercus agrifolia,54089_6_73_6_2_115,-116.9167467,-116.9172467,33.33333,33.33413,2002,1.368782228
144,Quercus agrifolia,54207_4_53_6_2_302,-121.87507,-121.87597,36.54174,36.54194,2007,0.640711708
145,Quercus agrifolia,54207_4_53_6_2_302,-121.87505,-121.87555,36.54169,36.54209,2017,0.758405993
146,Quercus agrifolia,54207_4_53_6_2_303,-121.87501,-121.87531,36.54169,36.54209,2007,0.150888818
147,Quercus agrifolia,54207_4_53_6_2_303,-121.87507,-121.87507,36.54167,36.54227,2017,0.220191622
148,Quercus agrifolia,54207_4_53_6_2_304,-121.87504,-121.87574,36.5417,36.5425,2017,0.340055382
149,Quercus agrifolia,54207_4_53_6_2_304,-121.87509,-121.87599,36.54175,36.54245,2007,0.195683991
150,Quercus agrifolia,54207_4_53_6_2_305,-121.87509,-121.87589,36.54173,36.54213,2007,0.570719377
