Unnamed: 0,Species,TREE_ID,Year,logF_current,X,Y
264,Abies concolor,50206_3_17_6_3_146,2021,5.722192499,-120.008184,38.818547
265,Abies concolor,50206_3_17_6_3_147,2001,5.274883346,-120.008184,38.818547
266,Abies concolor,50206_3_17_6_3_147,2001,5.526942827,-120.008184,38.818547
267,Abies concolor,50206_3_17_6_3_147,2011,3.17475135,-120.008184,38.818547
268,Abies concolor,50206_3_17_6_3_147,2011,3.548837872,-120.008184,38.818547
269,Abies concolor,50206_3_17_6_3_147,2021,5.342366094,-120.008184,38.818547
270,Abies concolor,50206_3_17_6_3_147,2021,5.722423334,-120.008184,38.818547
271,Abies concolor,50206_3_17_6_3_149,2001,5.27463992,-120.008184,38.818547
272,Abies concolor,50206_3_17_6_3_149,2001,5.526699401,-120.008184,38.818547
273,Abies concolor,50206_3_17_6_3_149,2011,3.174482742,-120.008184,38.818547
274,Abies concolor,50206_3_17_6_3_149,2011,3.548569264,-120.008184,38.818547
275,Abies concolor,50206_3_17_6_3_149,2021,5.687778052,-120.008184,38.818547
276,Abies concolor,50206_3_17_6_3_149,2021,6.067835292,-120.008184,38.818547
277,Abies concolor,50206_3_17_6_3_150,2001,5.274618935,-120.008184,38.818547
278,Abies concolor,50206_3_17_6_3_150,2001,5.526678416,-120.008184,38.818547
279,Abies concolor,50206_3_17_6_3_150,2011,3.174440772,-120.008184,38.818547
280,Abies concolor,50206_3_17_6_3_150,2011,3.548527294,-120.008184,38.818547
281,Abies concolor,50206_3_17_6_3_150,2021,5.341988364,-120.008184,38.818547
282,Abies concolor,50206_3_17_6_3_150,2021,5.722045604,-120.008184,38.818547
283,Abies concolor,50206_3_17_6_3_151,2001,5.274866558,-120.008184,38.818547
284,Abies concolor,50206_3_17_6_3_151,2001,5.526926039,-120.008184,38.818547
285,Abies concolor,50206_3_17_6_3_151,2011,3.174721971,-120.008184,38.818547
286,Abies concolor,50206_3_17_6_3_151,2011,3.548808493,-120.008184,38.818547
287,Abies concolor,50206_3_17_6_3_151,2021,5.342332518,-120.008184,38.818547
288,Abies concolor,50206_3_17_6_3_151,2021,5.722389758,-120.008184,38.818547
289,Abies concolor,50206_3_17_6_3_152,2001,5.274656708,-120.008184,38.818547
290,Abies concolor,50206_3_17_6_3_152,2001,5.526716189,-120.008184,38.818547
291,Abies concolor,50206_3_17_6_3_152,2011,3.174503727,-120.008184,38.818547
292,Abies concolor,50206_3_17_6_3_152,2011,3.548590249,-120.008184,38.818547
293,Abies concolor,50206_3_17_6_3_152,2021,5.342101683,-120.008184,38.818547
294,Abies concolor,50206_3_17_6_3_152,2021,5.722158923,-120.008184,38.818547
295,Abies concolor,50206_3_17_6_3_153,2001,5.274858164,-120.008184,38.818547
296,Abies concolor,50206_3_17_6_3_153,2001,5.526917645,-120.008184,38.818547
297,Abies concolor,50206_3_17_6_3_153,2011,3.174713577,-120.008184,38.818547
298,Abies concolor,50206_3_17_6_3_153,2011,3.548800099,-120.008184,38.818547
299,Abies concolor,50206_3_17_6_3_153,2021,5.342324124,-120.008184,38.818547
300,Abies concolor,50206_3_17_6_3_153,2021,5.722381364,-120.008184,38.818547
301,Abies concolor,50206_3_17_6_3_154,2001,5.274858164,-120.008184,38.818547
302,Abies concolor,50206_3_17_6_3_154,2001,5.526917645,-120.008184,38.818547
303,Abies concolor,50206_3_17_6_3_154,2011,3.174717774,-120.008184,38.818547
304,Abies concolor,50206_3_17_6_3_154,2011,3.548804296,-120.008184,38.818547
305,Abies concolor,50206_3_17_6_3_154,2021,5.342324124,-120.008184,38.818547
306,Abies concolor,50206_3_17_6_3_154,2021,5.722381364,-120.008184,38.818547
307,Abies concolor,50206_3_17_6_3_156,2001,5.274879149,-120.008184,38.818547
308,Abies concolor,50206_3_17_6_3_156,2001,5.52693863,-120.008184,38.818547
309,Abies concolor,50206_3_17_6_3_156,2011,3.174726168,-120.008184,38.818547
310,Abies concolor,50206_3_17_6_3_156,2011,3.54881269,-120.008184,38.818547
311,Abies concolor,50206_3_17_6_3_156,2021,5.342319927,-120.008184,38.818547
312,Abies concolor,50206_3_17_6_3_156,2021,5.722377167,-120.008184,38.818547
313,Abies concolor,50206_3_17_6_3_157,2001,5.27463992,-120.008184,38.818547
314,Abies concolor,50206_3_17_6_3_157,2001,5.526699401,-120.008184,38.818547
315,Abies concolor,50206_3_17_6_3_157,2011,3.174482742,-120.008184,38.818547
316,Abies concolor,50206_3_17_6_3_157,2011,3.548569264,-120.008184,38.818547
317,Abies concolor,50206_3_17_6_3_157,2021,5.342076501,-120.008184,38.818547
318,Abies concolor,50206_3_17_6_3_157,2021,5.722133741,-120.008184,38.818547
319,Abies concolor,50206_3_17_6_3_158,2001,5.274694481,-120.008184,38.818547
320,Abies concolor,50206_3_17_6_3_158,2001,5.526753962,-120.008184,38.818547
321,Abies concolor,50206_3_17_6_3_158,2011,3.174524712,-120.008184,38.818547
322,Abies concolor,50206_3_17_6_3_158,2011,3.548611234,-120.008184,38.818547
323,Abies concolor,50206_3_17_6_3_158,2021,5.687786446,-120.008184,38.818547
324,Abies concolor,50206_3_17_6_3_158,2021,6.067843686,-120.008184,38.818547
325,Abies concolor,50206_3_17_6_4_161,2001,5.274967286,-120.008184,38.818547
326,Abies concolor,50206_3_17_6_4_161,2001,5.527026767,-120.008184,38.818547
327,Abies concolor,50206_3_17_6_4_161,2011,3.174831093,-120.008184,38.818547
328,Abies concolor,50206_3_17_6_4_161,2011,3.548917615,-120.008184,38.818547
329,Abies concolor,50206_3_17_6_4_161,2021,5.342454231,-120.008184,38.818547
330,Abies concolor,50206_3_17_6_4_161,2021,5.722511471,-120.008184,38.818547
